"Filter","freq","psd_lin","psd_dB"
"TASM",0.09228515625,2.61422269583937e-09,-59.8887643812794
"TASM",0.092529296875,2.85589639906898e-09,-59.5047657001113
"TASM",0.0927734375,3.06887648202646e-09,-59.1923960982861
"TASM",0.093017578125,3.24534996868254e-09,-58.9495748220906
"TASM",0.09326171875,3.37863080639041e-09,-58.7747828122425
"TASM",0.093505859375,3.46335115038592e-09,-58.6672249181702
"TASM",0.09375,3.49570880211015e-09,-58.62683770794
"TASM",0.093994140625,3.47374557937916e-09,-58.6542101175741
"TASM",0.09423828125,3.39760821895234e-09,-58.7504572030861
"TASM",0.094482421875,3.26973202468523e-09,-58.9170685794198
"TASM",0.0947265625,3.09489049310624e-09,-59.1557373193597
"TASM",0.094970703125,2.88007067328588e-09,-59.4681587394209
"TASM",0.09521484375,2.63416018948819e-09,-59.8557683696886
"TASM",0.095458984375,2.36746198747382e-09,-60.319360042715
"TASM",0.095703125,2.091080811052e-09,-60.8584820215997
"TASM",0.095947265625,1.81624584017360e-09,-61.4704438624472
"TASM",0.09619140625,1.55364325966261e-09,-62.1486771363516
"TASM",0.096435546875,1.31282949755638e-09,-62.8801069268663
"TASM",0.0966796875,1.10178153121045e-09,-63.6412353070106
"TASM",0.096923828125,9.26618043212448e-10,-64.3931826628724
"TASM",0.09716796875,7.91498657694561e-10,-65.0776883619109
"TASM",0.097412109375,6.98682793296513e-10,-65.619389710033
"TASM",0.09765625,6.48709199991806e-10,-65.9416896173165
"TASM",0.097900390625,6.4064519777708e-10,-65.9960144380898
"TASM",0.09814453125,6.72352529841111e-10,-65.7862197554637
"TASM",0.098388671875,7.40724264232114e-10,-65.365624476076
"TASM",0.0986328125,8.4186233236453e-10,-64.8097794064994
"TASM",0.098876953125,9.71184853186294e-10,-64.1891711843727
"TASM",0.09912109375,1.12347252160937e-09,-63.5565656415106
"TASM",0.099365234375,1.29288027358181e-09,-62.9466070971142
"TASM",0.099609375,1.47295111118292e-09,-62.3803068648333
"TASM",0.099853515625,1.6566714939146e-09,-61.8698261939563
"TASM",0.10009765625,1.83660165274241e-09,-61.4220404806939
"TASM",0.100341796875,2.00510064695214e-09,-61.0408284175326
"TASM",0.1005859375,2.1546473715407e-09,-60.7284281496347
"TASM",0.100830078125,2.27823837833793e-09,-60.4861985532364
"TASM",0.10107421875,2.36982502281619e-09,-60.3150273801906
"TASM",0.101318359375,2.42473956486617e-09,-60.2155391989537
"TASM",0.1015625,2.44005504056304e-09,-60.1881939599567
"TASM",0.101806640625,2.41482822074046e-09,-60.2333277630185
"TASM",0.10205078125,2.35018837119143e-09,-60.3511634583491
"TASM",0.102294921875,2.24925477708567e-09,-60.5418036733882
"TASM",0.1025390625,2.11688971181145e-09,-60.8052078664002
"TASM",0.102783203125,1.95931659801236e-09,-61.1411440132176
"TASM",0.10302734375,1.7836514292098e-09,-61.5490903270831
"TASM",0.103271484375,1.59740581862125e-09,-62.0280375683234
"TASM",0.103515625,1.40802052993311e-09,-62.5761003169618
"TASM",0.103759765625,1.2224791030457e-09,-63.1897757480251
"TASM",0.10400390625,1.04703415666824e-09,-63.8625816927125
"TASM",0.104248046875,8.87057520416343e-10,-64.5826723670367
"TASM",0.1044921875,7.4700363970914e-10,-65.3289630098651
"TASM",0.104736328125,6.30457686466431e-10,-66.0656307490754
"TASM",0.10498046875,5.40228545214879e-10,-66.7364149066132
"TASM",0.105224609375,4.78443914598085e-10,-67.2638798377375
"TASM",0.10546875,4.46610133323509e-10,-67.5629044613273
"TASM",0.105712890625,4.4561154680818e-10,-67.5726258299973
